2024-05-27 12:34:42.131 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-05-27 12:34:42.131 [info] Added views:workbench.panel.output in workbench.panel.output
2024-05-27 12:34:42.132 [info] Added views:terminal in terminal
2024-05-27 12:34:42.132 [info] Added views:outline in workbench.view.explorer
2024-05-27 12:34:42.132 [info] Added views:workbench.scm in workbench.view.scm
2024-05-27 12:34:42.132 [info] Added views:workbench.view.search in workbench.view.search
2024-05-27 12:34:42.132 [info] Added views:timeline in workbench.view.explorer
2024-05-27 12:34:42.132 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-05-27 12:34:42.511 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-27 12:34:43.990 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-05-27 12:34:44.089 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-05-27 12:34:54.663 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-05-27 12:34:54.667 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2024-05-27 12:34:57.121 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-05-27 12:34:57.130 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-05-27 12:35:56.321 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-05-27 12:35:56.338 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-05-27 12:36:33.627 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-05-27 12:36:33.635 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-05-27 12:36:54.699 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-05-27 12:36:54.709 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-05-27 12:36:56.017 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-05-27 12:36:56.025 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-05-27 12:37:36.926 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-05-27 12:37:36.973 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-05-27 12:37:38.125 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-05-27 12:37:38.136 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-05-27 12:37:54.302 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-05-27 12:37:54.345 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-05-27 12:37:55.964 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-05-27 12:37:55.974 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-05-27 12:38:15.525 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-05-27 12:38:15.534 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-05-27 12:38:40.350 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
